Click,Swipe,Scroll,Input,Timestamps,Trip Type,Screen Time(min),Device Info,OS,App Version,Customer ID
15,15,9,7,2024-03-15 00:18:00.308677,long exploration journey,29,Galaxy S24,Android,['7.0.57'],+91 8076196879
3,2,2,1,2024-03-15 00:19:18.971655,single feature journey,5,OnePlus 6/6T,Android,['7.0.57'],+91 7121065625
18,15,8,10,2024-03-15 00:31:38.998264,long exploration journey,27,Galaxy Note8,Android,['6.0.48'],+91 8670695274
5,2,1,2,2024-03-15 01:00:50.829706,single feature journey,3,OnePlus 5/5T,Android,['7.0.25'],+91 7187547370
5,2,3,4,2024-03-15 02:03:07.503698,news consumption journey,8,Pixel 7,Android,['7.0.60'],+91 7117856640
10,2,5,4,2024-03-15 02:03:46.070394,shopping journey,11,iPhone SE (2nd generation),IOS,['7.0.57'],+91 7749578060
5,2,1,1,2024-03-15 02:06:06.578011,simple recharge journey,2,Mate series,Android,['7.0.47'],+91 7154555541
6,4,3,3,2024-03-15 02:07:41.523100,mixed usage,6,LG V series ,Android,['6.0.11'],+91 8989219117
5,1,0,2,2024-03-15 02:32:56.300332,simple recharge journey,2,Pixel 3a XL,Android,['7.0.57'],+91 7848775179
6,4,3,5,2024-03-15 03:57:28.443947,shopping journey,14,Sony Xperia series,Android,['7.0.57'],+91 8146132032
5,2,4,3,2024-03-15 04:33:41.733265,news consumption journey,5,Galaxy Note9,Android,['7.0.03'],+91 8679551270
7,2,3,3,2024-03-15 05:56:34.125339,shopping journey,12,HTC Desire series,Android,['7.0.57'],+91 9662305171
8,4,3,3,2024-03-15 07:02:29.286063,shopping journey,14,Galaxy S7,Android,['7.0.57'],+91 7719368963
5,4,4,2,2024-03-15 07:07:54.997854,news consumption journey,9,Pixel 8,Android,['7.0.01'],+91 9660975730
5,5,5,5,2024-03-15 07:10:54.132913,mixed usage,14,HTC Desire series,Android,['7.0.01'],+91 9980044362
3,2,2,1,2024-03-15 08:00:54.959001,single feature journey,6,Lenovo K series,Android,['7.0.60'],+91 7354384452
5,2,2,2,2024-03-15 08:09:54.083470,single feature journey,4,iPhone XS,IOS,['7.0.60'],+91 9295562950
3,2,3,5,2024-03-15 08:38:14.076833,news consumption journey,9,Galaxy Note9,Android,['7.0.25'],+91 8487906463
16,14,10,9,2024-03-15 08:50:25.298742,long exploration journey,28,LG Q series,Android,['6.0.48'],+91 9408374000
